,Cu,NaOH,median_ratio,fit_A,fit_B,fit_C
30,250.0,10.0,1.034087694483736,0.6664500643228853,0.0987523427660929,1.1715403222336664
31,275.0,10.0,1.02941176470588,1.254460015594328,0.0297019947156825,1.2077109527798071
32,300.0,10.0,1.0500000000000078,0.8617814878115606,0.0704936810562783,1.1566345191734386
33,325.0,10.0,1.0476190476190497,0.9543231574655284,0.0769102460164512,1.2306261063651136
34,350.0,10.0,1.038018018018018,0.8366438977984787,0.0791479507652375,1.1798268174940971
35,375.0,10.0,1.0545422410745844,1.0252689653413327,0.0601810059818293,1.5184812303782955
36,100.0,12.5,1.063291139240506,1.3439172355415736,0.0315001475921827,0.89700941712343
37,125.0,12.5,1.0720815752461317,1.2005529276119216,0.0632525147053499,1.100343733357116
38,150.0,12.5,1.0547619047619057,1.3897324839404792,0.023866862032085,0.887968668225888
39,175.0,12.5,1.0575396825396834,1.0859875314113636,0.0576639814643884,0.849130118002267
40,200.0,12.5,1.0277777777777768,1.488095568830892,0.0163549852892065,0.9293998725060666
41,225.0,12.5,1.0561797752808983,1.3384789154263983,0.0266333537978536,0.8241290468739245
42,250.0,12.5,1.051282051282053,1.338114463276074,0.0272727634813162,0.8979445342525649
43,275.0,12.5,1.0530898876404533,0.5731389469826959,0.1388805843514112,0.8783885112633351
44,300.0,12.5,1.0501039501039495,1.366114282118769,0.0211748196148028,0.8473506932065368
45,325.0,12.5,1.0434782608695656,1.4761666089122831,0.0132517851042941,0.8089090614024734
46,350.0,12.5,1.039257612042419,1.5958316434610165,0.0115842406347888,0.947313450412166
47,375.0,12.5,1.045454545454542,1.178653510580914,0.0252917954925446,0.8181249058600343
48,100.0,15.0,1.0545454545454491,1.1887487104165453,0.026100138410353,0.7429256328506535
49,125.0,15.0,1.0317460317460287,1.0197439008322708,0.022583761435215,0.6651098316350681
50,150.0,15.0,1.033898305084747,1.3384848710989223,0.0198422309874481,0.7114095259445772
51,175.0,15.0,1.035714285714292,1.8574821570068163,0.0046565555711417,0.7446567720176034
52,200.0,15.0,1.0393002028397589,1.9976464506777685,0.0033590147703528,0.7197584244077075
53,225.0,15.0,1.0441176470588232,1.380640329878584,0.0186766622755025,0.7845082162049852
54,250.0,15.0,1.0465816080885848,2.4605242230060416,0.0014536637801047,0.7753367626724155
55,275.0,15.0,1.0641025641025614,1.3353602600673706,0.0180256655248665,0.7459532623995258
56,300.0,15.0,1.0338983050847517,2.049835000121191,0.0028962958566541,0.7831127062146521
57,325.0,15.0,1.0441176470588232,1.934571490756432,0.0066005465145153,0.8307659330950701
58,350.0,15.0,1.031746031746016,2.3015628623284714,0.001,0.7331923910813128
