,Cu,NaOH,median_ratio,fit_A,fit_B,fit_C
85,150.5,7.6,1.0629921259842527,1.7947257303971662,0.011333535047134084,1.1692728314448873
86,156.1,7.6,1.0569182187278487,1.970097736709851,0.016246231207331575,1.3912148766487549
87,161.7,7.6,1.0877742946708475,1.8066718039165643,0.020416658467246888,1.3016361909143184
88,167.3,7.6,1.0792982701258311,1.6511794884437287,0.02750545775515863,1.298491777498722
89,173.0,7.6,1.0639999999999983,1.550566154023325,0.025157676747604284,1.1823000530550782
90,178.6,7.6,1.072847682119204,1.7288850480133933,0.016231181006505054,1.2369042221727833
91,184.2,7.6,,,,
92,189.8,7.6,1.0692676573323072,1.7505807065091303,0.015651672022549266,1.2381882174737897
93,195.4,7.6,1.0628272251308923,1.7294887154387677,0.01883040490051852,1.267408629778145
94,201.0,7.6,1.0455322933771218,2.1191673055078732,0.004238021088353099,1.1510182925886745
95,206.6,7.6,1.056680161943318,1.7665428886735564,0.014696258277515606,1.210545844982214
